LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Niinemets	Ülo	49	Tree Tolerance Database	Abies balsamea	32	Abies balsamea	14338	6786858			1413	Location Continent	Location Continent	North America 											Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.			
Niinemets	Ülo	49	Tree Tolerance Database	Acer rubrum	859	Acer rubrum	14371	427006			115	Species phylogenic group	Gymnosperm 	N											Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	Group: gymnosperm: Y angiosperm: N		
Niinemets	Ülo	49	Tree Tolerance Database	Acer rubrum	859	Acer rubrum	14371	6786891			1413	Location Continent	Location Continent	North America 											Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.			
Niinemets	Ülo	49	Tree Tolerance Database	Picea mariana	41927	Picea mariana	14739	429582			115	Species phylogenic group	Gymnosperm 	Y											Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.	Group: gymnosperm: Y angiosperm: N		
Niinemets	Ülo	49	Tree Tolerance Database	Picea mariana	41927	Picea mariana	14739	6787259			1413	Location Continent	Location Continent	North America 											Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337417			413	Plant developmental status / plant age / maturity / plant life stage	Seedlings (True/False)	F		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.		unknown	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337418			112	Location Site ID	Geography	40°49'N 77°56'W											Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: true geography of collection		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337419			59	Latitude	Latitude	40.82	dec	Single				40.82					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337420			60	Longitude	Longitude	-77.93	dec	Single				-77.93					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337421			80	Mean sum of annual precipitation (PPT / MAP / TAP)	Annual precipitation (mm)	979	mm/year	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: actual climate reported		
