Year,Month,Tmax,Tmin,SumOfPrecipitations
1950,1,1.0452514648437727,-38.22843017578123,77.66516876220703
1950,2,3.2425170898437727,-36.20661010742185,55.6971321105957
1950,3,9.246972656250023,-32.14313354492185,47.85410690307617
1950,4,20.265496826171898,-16.469061279296852,49.3927116394043
1950,5,27.029809570312523,-6.691076660156227,71.66460418701172
1950,6,27.902642822265648,-0.5905212402343523,94.59505462646484
1950,7,29.910729980468773,3.6621643066406477,73.09644317626953
1950,8,27.661553955078148,1.6830688476562727,68.73992919921875
1950,9,26.442346191406273,-3.1647399902343523,91.51779174804688
1950,10,21.214624023437523,-7.397589111328102,66.92794036865234
1950,11,11.058190917968773,-19.673468017578102,82.64209747314453
1950,12,3.0731750488281477,-34.39841308593748,75.42974853515625
1951,1,1.4160400390625227,-38.44663085937498,75.43987274169922
1951,2,2.4292236328125227,-36.2813781738281,53.52780532836914
1951,3,10.351708984375023,-31.541937255859352,65.86361694335938
1951,4,17.856103515625023,-17.485311889648415,54.4981689453125
1951,5,26.350793457031273,-6.242468261718727,64.9188461303711
1951,6,28.757135009765648,-0.45776977539060226,97.6620864868164
1951,7,29.407189941406273,3.4302307128906477,71.8807601928711
1951,8,27.954522705078148,1.9516235351562727,80.40931701660156
1951,9,24.884393310546898,-3.3631042480468523,83.32369232177734
1951,10,21.696801757812523,-7.307562255859352,64.73699951171875
1951,11,12.153802490234398,-20.820944213867165,86.17586517333984
1951,12,2.1988159179687727,-33.93912353515623,70.87872314453125
1952,1,0.5706726074218977,-37.94309082031248,64.33898162841797
1952,2,4.167230224609398,-35.86481323242185,48.22157669067383
1952,3,10.281518554687523,-31.47020568847654,58.50235366821289
1952,4,18.565637207031273,-20.645452880859352,51.65488815307617
1952,5,28.323785400390648,-6.135656738281227,67.59295654296875
1952,6,28.560296630859398,0.20598754882814774,88.00946807861328
1952,7,30.489038085937523,3.4424377441406477,79.47594451904297
1952,8,28.137628173828148,1.9134765625000227,73.7969970703125
1952,9,25.401696777343773,-3.2486633300781023,95.16849517822266
1952,10,20.418084716796898,-6.965734863281227,93.42017364501953
1952,11,9.967187500000023,-23.117407226562477,105.3411636352539
1952,12,3.3249450683593977,-33.76364746093748,72.48602294921875
1953,1,0.12816772460939774,-37.12824096679685,68.2822036743164
1953,2,2.9892211914062727,-37.616537475585915,49.210723876953125
1953,3,8.905175781250023,-29.587255859374977,58.76179504394531
1953,4,19.662744140625023,-16.733038330078102,41.920875549316406
1953,5,25.827416992187523,-6.320288085937477,67.3411636352539
1953,6,28.310052490234398,-0.5828918457031023,86.86760711669922
1953,7,29.381250000000023,2.6108032226562727,81.38076782226562
1953,8,27.235803222656273,2.8061157226562727,75.76416778564453
1953,9,25.331506347656273,-3.1540588378906023,101.30389404296875
1953,10,20.650018310546898,-8.538946533203102,75.12454986572266
1953,11,10.876611328125023,-21.118490600585915,81.4697265625
1953,12,2.5024658203125227,-34.55863037109373,80.0176010131836
1954,1,0.5950866699218977,-37.98428955078123,69.68341064453125
1954,2,3.4012390136718977,-35.54132690429685,59.769954681396484
1954,3,9.436181640625023,-30.614172363281227,49.24911117553711
1954,4,18.724328613281273,-17.869848632812477,49.5198974609375
1954,5,27.785150146484398,-5.693151855468727,59.64048385620117
1954,6,28.032342529296898,0.33873901367189774,88.08963012695312
1954,7,29.098931884765648,3.4164978027343977,72.83065032958984
1954,8,27.698175048828148,2.3788696289062727,73.5631103515625
1954,9,24.559381103515648,-2.2079833984374773,102.64035034179688
1954,10,17.692834472656273,-8.191046142578102,87.29104614257812
1954,11,11.207757568359398,-22.459753417968727,94.43225860595703
1954,12,3.0685668945312727,-32.97015991210935,71.29833984375
1955,1,1.1230712890625227,-37.216757202148415,69.39354705810547
1955,2,2.9861694335937727,-37.74320068359373,50.2890510559082
1955,3,9.959558105468773,-30.485998535156227,58.42228698730469
1955,4,19.352990722656273,-15.735113525390602,41.018104553222656
1955,5,28.036920166015648,-6.668188476562477,72.59158325195312
1955,6,28.694573974609398,-0.20142211914060226,89.13613891601562
1955,7,29.547570800781273,3.6881042480468977,74.75330352783203
1955,8,28.032342529296898,2.7527099609375227,93.26117706298828
1955,9,24.998834228515648,-3.1799987792968523,108.01663208007812
1955,10,21.150537109375023,-7.673773193359352,87.1855697631836
1955,11,10.279992675781273,-20.004583740234352,76.4037094116211
1955,12,2.2400146484375227,-32.64057006835935,70.95376586914062
1956,1,0.16173706054689774,-36.59723510742185,66.31118774414062
1956,2,3.0060058593750227,-37.636373901367165,49.550296783447266
1956,3,10.270837402343773,-31.43205871582029,68.12703704833984
1956,4,18.432885742187523,-15.504705810546852,58.956298828125
1956,5,27.583734130859398,-6.205847167968727,67.43401336669922
1956,6,28.680841064453148,0.47911987304689774,82.28353118896484
1956,7,29.639123535156273,3.3005310058593977,67.21405029296875
1956,8,27.638665771484398,2.0385986328125227,71.94688415527344
1956,9,24.425103759765648,-3.6637023925781023,102.70645141601562
1956,10,20.610345458984398,-7.374700927734352,84.5075912475586
1956,11,10.775903320312523,-20.160223388671852,85.40401458740234
1956,12,4.013116455078148,-33.401998901367165,74.81682586669922
1957,1,0.41655883789064774,-38.11856689453123,72.286376953125
1957,2,1.8539672851562727,-37.570761108398415,56.95344161987305
1957,3,9.724572753906273,-33.479818725585915,55.6019287109375
1957,4,18.413049316406273,-16.960394287109352,47.98634719848633
1957,5,26.697167968750023,-5.326940917968727,58.466827392578125
1957,6,28.458062744140648,-0.8239807128906023,101.50989532470703
1957,7,29.840539550781273,3.4256530761718977,61.75258255004883
