year,month,day,Variable,eco1
1950,6,18,PAR,537.4021606445312
1950,6,19,PAR,758.9284057617188
1950,6,20,PAR,673.9169921875
1950,6,21,PAR,143.54931640625
1950,6,22,PAR,210.8854217529297
1950,6,23,PAR,391.6719665527344
1950,6,24,PAR,738.4484252929688
1950,6,25,PAR,727.1400756835938
1950,6,26,PAR,718.6564331054688
1950,6,27,PAR,712.003662109375
1950,6,28,PAR,290.7701721191406
1950,6,29,PAR,766.2857666015625
1950,6,30,PAR,745.9017944335938
1950,7,1,PAR,675.7015380859375
1950,7,2,PAR,664.0767211914062
1950,7,3,PAR,684.2052001953125
1950,7,4,PAR,603.8829956054688
1950,7,5,PAR,76.92262268066406
1950,7,6,PAR,548.8798217773438
1950,7,7,PAR,714.8519287109375
1950,7,8,PAR,519.6287231445312
1950,7,9,PAR,602.4061279296875
1950,7,10,PAR,731.3094482421875
1950,7,11,PAR,578.8236083984375
1950,7,12,PAR,448.3492736816406
1950,7,13,PAR,578.063720703125
1950,7,14,PAR,689.0394897460938
1950,7,15,PAR,664.8385009765625
1950,7,16,PAR,528.2808227539062
1950,7,17,PAR,110.1198959350586
1950,7,18,PAR,321.7851867675781
1950,7,19,PAR,517.6220703125
1950,7,20,PAR,256.5616149902344
1950,7,21,PAR,511.8096923828125
1950,7,22,PAR,586.0859375
1950,7,23,PAR,142.41297912597656
1950,7,24,PAR,244.45309448242188
1950,7,25,PAR,124.82097625732422
1950,7,26,PAR,535.4093627929688
1950,7,27,PAR,560.2119750976562
1950,7,28,PAR,478.37469482421875
1950,7,29,PAR,465.8695983886719
1950,7,30,PAR,396.936767578125
1950,7,31,PAR,287.3580322265625
1950,8,1,PAR,485.56103515625
1950,8,2,PAR,471.8492736816406
1950,8,3,PAR,644.5546264648438
1950,8,4,PAR,592.0206298828125
1950,8,5,PAR,542.92138671875
1950,8,6,PAR,652.9526977539062
1950,8,7,PAR,645.9208374023438
1950,8,8,PAR,334.3031005859375
1950,8,9,PAR,48.28205871582031
1950,8,10,PAR,119.47042083740234
1950,8,11,PAR,71.91126251220703
1950,8,12,PAR,282.6717529296875
1950,8,13,PAR,611.62255859375
1950,8,14,PAR,576.6729736328125
1950,8,15,PAR,531.4315185546875
1950,8,16,PAR,624.2701416015625
1950,8,17,PAR,593.3067016601562
1950,8,18,PAR,601.946533203125
1950,8,19,PAR,559.1649780273438
1950,8,20,PAR,548.9146118164062
1950,8,21,PAR,555.2156982421875
1950,8,22,PAR,412.5341491699219
1950,8,23,PAR,295.8544616699219
1950,8,24,PAR,166.78456115722656
1950,8,25,PAR,591.2922973632812
1950,8,26,PAR,582.0487670898438
1950,8,27,PAR,531.483154296875
1950,8,28,PAR,328.0086669921875
1950,8,29,PAR,503.1837463378906
1950,8,30,PAR,81.3612289428711
1950,8,31,PAR,434.14312744140625
1950,9,1,PAR,452.30621337890625
1950,9,2,PAR,528.0486450195312
1950,9,3,PAR,288.4165954589844
1950,9,4,PAR,468.0489807128906
1950,9,5,PAR,181.85678100585938
1950,9,6,PAR,237.82948303222656
1950,9,7,PAR,346.97064208984375
1950,9,8,PAR,364.25030517578125
1950,9,9,PAR,513.3905639648438
1950,9,10,PAR,509.8368835449219
1950,9,11,PAR,418.1767883300781
1950,9,12,PAR,370.1968994140625
1950,9,13,PAR,148.62890625
1950,9,14,PAR,41.06949234008789
1950,9,15,PAR,114.39461517333984
1950,9,16,PAR,466.5931091308594
1950,9,17,PAR,185.99066162109375
1950,9,18,PAR,26.080829620361328
1950,9,19,PAR,461.20294189453125
1950,9,20,PAR,362.1191711425781
1950,9,21,PAR,456.93048095703125
1950,9,22,PAR,450.7213134765625
1950,9,23,PAR,442.9930725097656
1950,9,24,PAR,369.3311462402344
1950,9,25,PAR,366.3695983886719
1950,9,26,PAR,422.0596008300781
1950,9,27,PAR,425.2705383300781
1950,9,28,PAR,417.67193603515625
1950,9,29,PAR,382.95562744140625
1950,9,30,PAR,393.02520751953125
1950,10,1,PAR,353.8533630371094
1950,10,2,PAR,69.87397766113281
1950,10,3,PAR,352.920654296875
1950,10,4,PAR,383.212646484375
1950,10,5,PAR,55.30107116699219
1950,10,6,PAR,136.81910705566406
1950,10,7,PAR,210.22329711914062
1950,10,8,PAR,264.50469970703125
1950,10,9,PAR,87.33277130126953
1950,10,10,PAR,117.50045776367188
1950,10,11,PAR,280.8768310546875
1950,10,12,PAR,150.72235107421875
1950,10,13,PAR,242.195068359375
1950,10,14,PAR,277.17840576171875
1950,10,15,PAR,327.985595703125
1950,10,16,PAR,301.5038757324219
1950,10,17,PAR,292.82196044921875
1950,10,18,PAR,37.27194595336914
1950,10,19,PAR,199.37506103515625
1950,10,20,PAR,286.8526611328125
1950,10,21,PAR,305.1824951171875
1950,10,22,PAR,240.7865753173828
1950,10,23,PAR,279.3874816894531
1950,10,24,PAR,273.7242736816406
1950,10,25,PAR,266.7929992675781
1950,10,26,PAR,156.17367553710938
1950,10,27,PAR,33.867122650146484
1950,10,28,PAR,186.5884246826172
1950,10,29,PAR,151.73760986328125
1950,10,30,PAR,142.58885192871094
1950,10,31,PAR,234.66529846191406
1950,11,1,PAR,242.3957061767578
1950,11,2,PAR,239.94993591308594
1950,11,3,PAR,233.12100219726562
1950,11,4,PAR,230.65090942382812
1950,11,5,PAR,220.8877410888672
1950,11,6,PAR,149.97024536132812
1950,11,7,PAR,119.6619873046875
1950,11,8,PAR,78.43972778320312
1950,11,9,PAR,23.772022247314453
1950,11,10,PAR,32.05116271972656
1950,11,11,PAR,117.27952575683594
1950,11,12,PAR,116.60885620117188
1950,11,13,PAR,111.65337371826172
1950,11,14,PAR,210.5290985107422
1950,11,15,PAR,108.0080795288086
1950,11,16,PAR,206.9431610107422
1950,11,17,PAR,167.23936462402344
1950,11,18,PAR,78.99666595458984
1950,11,19,PAR,86.58866119384766
1950,11,20,PAR,187.3520965576172
1950,11,21,PAR,183.90554809570312
1950,11,22,PAR,182.8236541748047
1950,11,23,PAR,155.29922485351562
1950,11,24,PAR,179.4740447998047
1950,11,25,PAR,180.99803161621094
1950,11,26,PAR,177.58193969726562
1950,11,27,PAR,165.57728576660156
1950,11,28,PAR,154.11692810058594
1950,11,29,PAR,30.989757537841797
1950,11,30,PAR,74.52935791015625
1950,12,1,PAR,105.17916107177734
1950,12,2,PAR,134.53585815429688
1950,12,3,PAR,67.75301361083984
1950,12,4,PAR,164.7616729736328
1950,12,5,PAR,164.04812622070312
1950,12,6,PAR,73.27140045166016
1950,12,7,PAR,86.40705108642578
1950,12,8,PAR,105.119384765625
1950,12,9,PAR,156.56906127929688
1950,12,10,PAR,113.10588836669922
1950,12,11,PAR,74.53691101074219
1950,12,12,PAR,154.40907287597656
1950,12,13,PAR,75.03150939941406
1950,12,14,PAR,141.62611389160156
1950,12,15,PAR,91.41172790527344
1950,12,16,PAR,38.442806243896484
1950,12,17,PAR,24.785123825073242
1950,12,18,PAR,58.47610092163086
1950,12,19,PAR,144.7416229248047
1950,12,20,PAR,71.71866607666016
1950,12,21,PAR,152.46279907226562
1950,12,22,PAR,100.65232849121094
1950,12,23,PAR,67.35704803466797
1950,12,24,PAR,107.58467102050781
1950,12,25,PAR,144.50245666503906
1950,12,26,PAR,147.9990692138672
1950,12,27,PAR,140.99142456054688
1950,12,28,PAR,152.77740478515625
1950,12,29,PAR,150.32228088378906
1950,12,30,PAR,53.68836212158203
1950,12,31,PAR,97.2522201538086
1951,1,1,PAR,130.7241668701172
1951,1,2,PAR,57.926395416259766
1951,1,3,PAR,17.59937858581543
1951,1,4,PAR,158.96900939941406
1951,1,5,PAR,160.84910583496094
1951,1,6,PAR,135.39573669433594
1951,1,7,PAR,129.12928771972656
1951,1,8,PAR,99.49856567382812
1951,1,9,PAR,157.8278350830078
1951,1,10,PAR,79.5693130493164
1951,1,11,PAR,46.954925537109375
1951,1,12,PAR,128.47006225585938
1951,1,13,PAR,35.186561584472656
1951,1,14,PAR,131.02394104003906
1951,1,15,PAR,136.84239196777344
1951,1,16,PAR,138.41738891601562
1951,1,17,PAR,87.49853515625
1951,1,18,PAR,174.50582885742188
1951,1,19,PAR,117.90460968017578
1951,1,20,PAR,194.83859252929688
1951,1,21,PAR,191.90113830566406
1951,1,22,PAR,160.318603515625
1951,1,23,PAR,150.49227905273438
1951,1,24,PAR,172.57302856445312
1951,1,25,PAR,207.884033203125
1951,1,26,PAR,204.03536987304688
1951,1,27,PAR,213.64053344726562
1951,1,28,PAR,207.64065551757812
1951,1,29,PAR,217.57803344726562
1951,1,30,PAR,225.93666076660156
1951,1,31,PAR,225.22744750976562
1951,2,1,PAR,172.16488647460938
1951,2,2,PAR,98.86470794677734
1951,2,3,PAR,116.53571319580078
1951,2,4,PAR,169.89442443847656
1951,2,5,PAR,61.130733489990234
1951,2,6,PAR,83.88823699951172
1951,2,7,PAR,43.499237060546875
1951,2,8,PAR,25.954303741455078
1951,2,9,PAR,254.33433532714844
1951,2,10,PAR,80.43145751953125
1951,2,11,PAR,156.13433837890625
1951,2,12,PAR,276.12646484375
1951,2,13,PAR,117.85284423828125
1951,2,14,PAR,268.8184814453125
1951,2,15,PAR,256.6162109375
1951,2,16,PAR,230.22079467773438
1951,2,17,PAR,270.3739318847656
1951,2,18,PAR,165.90269470214844
1951,2,19,PAR,188.48814392089844
1951,2,20,PAR,313.7640075683594
1951,2,21,PAR,231.50286865234375
1951,2,22,PAR,105.70978546142578
1951,2,23,PAR,282.63671875
1951,2,24,PAR,336.1490478515625
1951,2,25,PAR,341.344482421875
1951,2,26,PAR,306.2472839355469
1951,2,27,PAR,289.1763610839844
1951,2,28,PAR,365.6063537597656
1951,3,1,PAR,193.13063049316406
1951,3,2,PAR,155.65101623535156
1951,3,3,PAR,283.6286926269531
1951,3,4,PAR,364.272705078125
1951,3,5,PAR,287.8721618652344
1951,3,6,PAR,344.7671203613281
1951,3,7,PAR,263.0441589355469
1951,3,8,PAR,387.3864440917969
1951,3,9,PAR,404.19390869140625
1951,3,10,PAR,394.33660888671875
1951,3,11,PAR,412.4859619140625
1951,3,12,PAR,119.88043212890625
1951,3,13,PAR,193.48606872558594
1951,3,14,PAR,83.6708755493164
1951,3,15,PAR,38.415714263916016
1951,3,16,PAR,370.90087890625
1951,3,17,PAR,138.77781677246094
1951,3,18,PAR,125.4716796875
1951,3,19,PAR,430.6163330078125
1951,3,20,PAR,474.6214599609375
1951,3,21,PAR,472.19049072265625
1951,3,22,PAR,347.1370849609375
1951,3,23,PAR,200.85174560546875
1951,3,24,PAR,444.0738220214844
1951,3,25,PAR,434.0055236816406
1951,3,26,PAR,419.0731201171875
1951,3,27,PAR,451.4404602050781
1951,3,28,PAR,348.363525390625
1951,3,29,PAR,336.8804931640625
1951,3,30,PAR,490.0844421386719
1951,3,31,PAR,430.39678955078125
1951,4,1,PAR,388.05413818359375
1951,4,2,PAR,392.6908264160156
1951,4,3,PAR,555.984130859375
1951,4,4,PAR,547.224853515625
1951,4,5,PAR,514.240234375
1951,4,6,PAR,438.04327392578125
1951,4,7,PAR,460.247802734375
1951,4,8,PAR,450.46209716796875
1951,4,9,PAR,69.71280670166016
1951,4,10,PAR,543.0908203125
1951,4,11,PAR,574.6929321289062
1951,4,12,PAR,558.4585571289062
1951,4,13,PAR,572.13818359375
1951,4,14,PAR,265.90362548828125
1951,4,15,PAR,424.4251403808594
1951,4,16,PAR,555.3431396484375
1951,4,17,PAR,168.12107849121094
1951,4,18,PAR,79.27664947509766
1951,4,19,PAR,90.17632293701172
1951,4,20,PAR,159.0855255126953
1951,4,21,PAR,623.700927734375
1951,4,22,PAR,607.7681274414062
1951,4,23,PAR,628.0145874023438
1951,4,24,PAR,574.2449951171875
1951,4,25,PAR,139.71694946289062
1951,4,26,PAR,132.52462768554688
1951,4,27,PAR,526.494140625
1951,4,28,PAR,662.857421875
1951,4,29,PAR,665.3186645507812
1951,4,30,PAR,675.82177734375
1951,5,1,PAR,678.8394165039062
1951,5,2,PAR,663.0501708984375
1951,5,3,PAR,294.0143737792969
1951,5,4,PAR,453.14923095703125
1951,5,5,PAR,92.19784545898438
1951,5,6,PAR,183.91537475585938
1951,5,7,PAR,210.3468780517578
1951,5,8,PAR,392.615234375
1951,5,9,PAR,490.5716857910156
1951,5,10,PAR,365.0660400390625
1951,5,11,PAR,329.5203857421875
1951,5,12,PAR,452.8426513671875
1951,5,13,PAR,515.0780639648438
1951,5,14,PAR,722.7957153320312
1951,5,15,PAR,711.5545043945312
1951,5,16,PAR,718.7734375
1951,5,17,PAR,501.5596618652344
1951,5,18,PAR,75.03370666503906
1951,5,19,PAR,548.5046997070312
1951,5,20,PAR,375.19696044921875
1951,5,21,PAR,412.98248291015625
1951,5,22,PAR,422.1166687011719
1951,5,23,PAR,626.6016235351562
1951,5,24,PAR,537.64599609375
1951,5,25,PAR,265.7925109863281
1951,5,26,PAR,347.54473876953125
1951,5,27,PAR,374.47393798828125
1951,5,28,PAR,679.7943115234375
1951,5,29,PAR,542.6556396484375
1951,5,30,PAR,620.30029296875
1951,5,31,PAR,364.3802490234375
1951,6,1,PAR,757.1015625
1951,6,2,PAR,635.06591796875
1951,6,3,PAR,601.8972778320312
1951,6,4,PAR,739.9869384765625
1951,6,5,PAR,691.85888671875
1951,6,6,PAR,265.4779357910156
1951,6,7,PAR,754.4552001953125
1951,6,8,PAR,503.04925537109375
1951,6,9,PAR,330.523193359375
1951,6,10,PAR,47.59627914428711
1951,6,11,PAR,423.71051025390625
1951,6,12,PAR,724.7262573242188
1951,6,13,PAR,115.68124389648438
1951,6,14,PAR,666.0602416992188
1951,6,15,PAR,701.5086669921875
1951,6,16,PAR,327.7206115722656
1951,6,17,PAR,84.47000885009766
1951,6,18,PAR,712.6741333007812
1951,6,19,PAR,752.945068359375
1951,6,20,PAR,745.345703125
1951,6,21,PAR,607.267578125
1951,6,22,PAR,640.0469360351562
1951,6,23,PAR,743.006103515625
1951,6,24,PAR,744.1743774414062
1951,6,25,PAR,728.2564086914062
1951,6,26,PAR,452.885009765625
1951,6,27,PAR,99.82133483886719
1951,6,28,PAR,600.6087036132812
1951,6,29,PAR,150.60731506347656
1951,6,30,PAR,465.6300048828125
1951,7,1,PAR,500.23638916015625
1951,7,2,PAR,415.46624755859375
1951,7,3,PAR,393.6556396484375
1951,7,4,PAR,485.17724609375
1951,7,5,PAR,60.04012680053711
1951,7,6,PAR,227.65419006347656
1951,7,7,PAR,588.443115234375
1951,7,8,PAR,734.6046752929688
1951,7,9,PAR,722.9076538085938
1951,7,10,PAR,714.0250244140625
1951,7,11,PAR,692.5546875
1951,7,12,PAR,306.8016052246094
1951,7,13,PAR,712.7250366210938
1951,7,14,PAR,708.5748901367188
1951,7,15,PAR,566.98095703125
1951,7,16,PAR,650.9505615234375
1951,7,17,PAR,356.7431945800781
1951,7,18,PAR,179.42514038085938
1951,7,19,PAR,713.9733276367188
1951,7,20,PAR,693.3427734375
1951,7,21,PAR,570.590576171875
1951,7,22,PAR,636.5560913085938
1951,7,23,PAR,654.7899169921875
1951,7,24,PAR,457.6615905761719
1951,7,25,PAR,412.1662292480469
1951,7,26,PAR,356.2792663574219
1951,7,27,PAR,698.6456298828125
1951,7,28,PAR,605.6907958984375
1951,7,29,PAR,555.6268310546875
1951,7,30,PAR,394.9157409667969
1951,7,31,PAR,542.4268798828125
1951,8,1,PAR,454.9530334472656
1951,8,2,PAR,621.6785888671875
1951,8,3,PAR,442.4742736816406
1951,8,4,PAR,77.81787109375
1951,8,5,PAR,85.79146575927734
1951,8,6,PAR,153.4809112548828
1951,8,7,PAR,642.0033569335938
1951,8,8,PAR,628.864013671875
1951,8,9,PAR,610.0927124023438
1951,8,10,PAR,491.7715148925781
1951,8,11,PAR,58.97821807861328
1951,8,12,PAR,21.532581329345703
1951,8,13,PAR,47.58526611328125
1951,8,14,PAR,442.7143859863281
1951,8,15,PAR,151.14459228515625
1951,8,16,PAR,564.7623291015625
1951,8,17,PAR,607.8487548828125
1951,8,18,PAR,594.17822265625
1951,8,19,PAR,181.24290466308594
1951,8,20,PAR,53.5070915222168
1951,8,21,PAR,191.52902221679688
1951,8,22,PAR,517.541259765625
1951,8,23,PAR,588.5671997070312
1951,8,24,PAR,569.0642700195312
1951,8,25,PAR,463.60296630859375
1951,8,26,PAR,509.4916076660156
1951,8,27,PAR,492.38104248046875
1951,8,28,PAR,366.9652404785156
1951,8,29,PAR,477.059814453125
1951,8,30,PAR,171.7025909423828
1951,8,31,PAR,564.7719116210938
1951,9,1,PAR,559.2606811523438
1951,9,2,PAR,523.7969360351562
1951,9,3,PAR,300.011474609375
1951,9,4,PAR,34.958290100097656
1951,9,5,PAR,421.28814697265625
1951,9,6,PAR,519.175537109375
1951,9,7,PAR,402.70166015625
1951,9,8,PAR,62.69047164916992
1951,9,9,PAR,512.2587890625
1951,9,10,PAR,317.3398132324219
1951,9,11,PAR,182.92526245117188
1951,9,12,PAR,53.866912841796875
1951,9,13,PAR,319.3345031738281
1951,9,14,PAR,274.79754638671875
1951,9,15,PAR,105.02043151855469
1951,9,16,PAR,476.57147216796875
1951,9,17,PAR,448.63641357421875
1951,9,18,PAR,100.50267791748047
1951,9,19,PAR,362.3169250488281
1951,9,20,PAR,454.0981140136719
1951,9,21,PAR,239.66775512695312
1951,9,22,PAR,202.4077606201172
1951,9,23,PAR,38.75755310058594
1951,9,24,PAR,37.788246154785156
1951,9,25,PAR,402.55206298828125
1951,9,26,PAR,77.14026641845703
1951,9,27,PAR,262.0054626464844
1951,9,28,PAR,42.83091354370117
1951,9,29,PAR,21.13529396057129
1951,9,30,PAR,108.67367553710938
1951,10,1,PAR,332.769287109375
1951,10,2,PAR,220.87294006347656
1951,10,3,PAR,186.2559356689453
1951,10,4,PAR,21.867145538330078
1951,10,5,PAR,122.56532287597656
1951,10,6,PAR,323.954833984375
1951,10,7,PAR,379.8948974609375
1951,10,8,PAR,267.82855224609375
1951,10,9,PAR,147.89324951171875
1951,10,10,PAR,127.67216491699219
1951,10,11,PAR,337.7582092285156
1951,10,12,PAR,337.616943359375
1951,10,13,PAR,264.1873474121094
1951,10,14,PAR,46.15131759643555
1951,10,15,PAR,46.77278137207031
1951,10,16,PAR,207.59457397460938
1951,10,17,PAR,244.62420654296875
1951,10,18,PAR,88.48909759521484
1951,10,19,PAR,293.70367431640625
1951,10,20,PAR,258.4413757324219
1951,10,21,PAR,115.97220611572266
1951,10,22,PAR,213.28224182128906
1951,10,23,PAR,30.100982666015625
1951,10,24,PAR,287.5057067871094
1951,10,25,PAR,290.0538330078125
1951,10,26,PAR,79.55721282958984
1951,10,27,PAR,245.31634521484375
1951,10,28,PAR,249.3383331298828
1951,10,29,PAR,267.649658203125
1951,10,30,PAR,127.58675384521484
1951,10,31,PAR,134.4025115966797
1951,11,1,PAR,237.05099487304688
1951,11,2,PAR,95.65463256835938
1951,11,3,PAR,98.26725769042969
1951,11,4,PAR,237.03456115722656
1951,11,5,PAR,222.3577880859375
1951,11,6,PAR,237.0154571533203
1951,11,7,PAR,93.68666076660156
1951,11,8,PAR,35.116798400878906
1951,11,9,PAR,89.31116485595703
1951,11,10,PAR,74.9580307006836
1951,11,11,PAR,171.8159942626953
1951,11,12,PAR,46.48397445678711
1951,11,13,PAR,73.88261413574219
1951,11,14,PAR,181.14913940429688
1951,11,15,PAR,88.73004150390625
1951,11,16,PAR,100.49893188476562
1951,11,17,PAR,186.38687133789062
1951,11,18,PAR,188.31922912597656
1951,11,19,PAR,186.03871154785156
1951,11,20,PAR,123.82601165771484
1951,11,21,PAR,70.21440124511719
1951,11,22,PAR,34.709266662597656
1951,11,23,PAR,77.36766815185547
1951,11,24,PAR,69.4932861328125
1951,11,25,PAR,77.40721893310547
1951,11,26,PAR,41.291500091552734
1951,11,27,PAR,85.37555694580078
1951,11,28,PAR,144.83958435058594
1951,11,29,PAR,160.91041564941406
1951,11,30,PAR,75.83822631835938
1951,12,1,PAR,110.15608978271484
1951,12,2,PAR,160.05435180664062
1951,12,3,PAR,81.43318939208984
1951,12,4,PAR,162.23255920410156
1951,12,5,PAR,80.40792846679688
1951,12,6,PAR,54.846099853515625
1951,12,7,PAR,58.3145637512207
1951,12,8,PAR,53.38903045654297
1951,12,9,PAR,69.17862701416016
1951,12,10,PAR,137.7932586669922
1951,12,11,PAR,125.2205581665039
1951,12,12,PAR,47.644264221191406
1951,12,13,PAR,67.26544952392578
1951,12,14,PAR,151.3941192626953
1951,12,15,PAR,114.32160186767578
1951,12,16,PAR,151.22274780273438
1951,12,17,PAR,110.52749633789062
1951,12,18,PAR,74.02108764648438
1951,12,19,PAR,97.66458892822266
1951,12,20,PAR,42.76603698730469
1951,12,21,PAR,89.09500885009766
1951,12,22,PAR,146.44821166992188
1951,12,23,PAR,73.52857208251953
1951,12,24,PAR,36.70841598510742
1951,12,25,PAR,35.84077835083008
1951,12,26,PAR,7.105841636657715
1951,12,27,PAR,31.439926147460938
1951,12,28,PAR,22.835391998291016
1951,12,29,PAR,48.37513732910156
1951,12,30,PAR,73.13619995117188
1951,12,31,PAR,52.33408737182617
1952,1,1,PAR,95.27400207519531
1952,1,2,PAR,151.19483947753906
1952,1,3,PAR,73.90406036376953
1952,1,4,PAR,50.110260009765625
1952,1,5,PAR,114.23330688476562
1952,1,6,PAR,122.91061401367188
1952,1,7,PAR,152.24774169921875
1952,1,8,PAR,159.9049835205078
1952,1,9,PAR,158.62059020996094
1952,1,10,PAR,156.43896484375
