,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,4,4
1,10,8,8
2,20,16,16
3,30,33,33
4,40,65,65
5,50,123,123
6,60,241,241
7,70,447,447
8,80,776,776
9,90,1226,1226
10,100,1803,1803
11,110,2454,2454
12,120,3107,3107
13,130,3706,3706
14,140,4187,4187
15,150,4521,4521
16,160,4730,4730
17,170,4814,4814
18,180,4754,4754
19,190,4541,4541
20,200,4150,4150
21,210,3607,3607
22,220,2928,2928
23,230,2208,2208
24,240,1512,1512
25,250,932,932
26,260,509,509
27,270,0,0
28,280,0,0
29,290,0,0
30,300,0,0
